; NA from natural_emiss_cmip6CEDS
; commit 0674f8aa14c7345
; date Fri Aug 14 10:45:45 2026
; UNITS:, Tg CH4, Tg N
Date,CH4N,N2O_natural_emissions
1745,208.538926,  9.533258
1746,208.538926,  9.533258
1747,208.538926,  9.533258
1748,208.538926,  9.533258
1749,208.538926,  9.533258
1750,208.538926,  9.533258
1751,208.538926,  9.533258
1752,208.538926,  9.533258
1753,208.538926,  9.533258
1754,208.538926,  9.533258
1755,208.538926,  9.533258
1756,208.538926,  9.533258
1757,208.538926,  9.533258
1758,208.538926,  9.533258
1759,208.538926,  9.533258
1760,208.538926,  9.533258
1761,208.538926,  9.533258
1762,208.538926,  9.533258
1763,208.538926,  9.533258
1764,208.538926,  9.533258
1765,208.538926,  9.533258
1766,208.538926,  9.533258
1767,208.538926,  9.533258
1768,208.538926,  9.533258
1769,208.538926,  9.533258
1770,208.538926,  9.533258
1771,208.538926,  9.533258
1772,208.538926,  9.533258
1773,208.538926,  9.533258
1774,208.538926,  9.533258
1775,208.538926,  9.533258
1776,208.538926,  9.533258
1777,208.538926,  9.533258
1778,208.538926,  9.533258
1779,208.538926,  9.533258
1780,208.538926,  9.533258
1781,208.538926,  9.533258
1782,208.538926,  9.533258
1783,208.538926,  9.533258
1784,208.538926,  9.533258
1785,208.538926,  9.533258
1786,208.538926,  9.533258
1787,208.538926,  9.533258
1788,208.538926,  9.533258
1789,208.538926,  9.533258
1790,208.538926,  9.533258
1791,208.538926,  9.533258
1792,208.538926,  9.533258
1793,208.538926,  9.533258
1794,208.538926,  9.533258
1795,208.538926,  9.533258
1796,208.538926,  9.533258
1797,208.538926,  9.533258
1798,208.538926,  9.533258
1799,208.538926,  9.533258
1800,208.538926,  9.533258
1801,208.538926,  9.533258
1802,208.538926,  9.533258
1803,208.538926,  9.533258
1804,208.538926,  9.533258
1805,208.538926,  9.533258
1806,208.538926,  9.533258
1807,208.538926,  9.533258
1808,208.538926,  9.533258
1809,208.538926,  9.533258
1810,208.538926,  9.533258
1811,208.538926,  9.533258
1812,208.538926,  9.533258
1813,208.538926,  9.533258
1814,208.538926,  9.533258
1815,208.538926,  9.533258
1816,208.538926,  9.533258
1817,208.538926,  9.533258
1818,208.538926,  9.533258
1819,208.538926,  9.533258
1820,208.538926,  9.533258
1821,208.538926,  9.533258
1822,208.538926,  9.533258
1823,208.538926,  9.533258
1824,208.538926,  9.533258
1825,208.538926,  9.533258
1826,208.538926,  9.533258
1827,208.538926,  9.533258
1828,208.538926,  9.533258
1829,208.538926,  9.533258
1830,208.538926,  9.533258
1831,208.538926,  9.533258
1832,208.538926,  9.533258
1833,208.538926,  9.533258
1834,208.538926,  9.533258
1835,208.538926,  9.533258
1836,208.538926,  9.533258
1837,208.538926,  9.533258
1838,208.538926,  9.533258
1839,208.538926,  9.533258
1840,208.538926,  9.533258
1841,208.538926,  9.533258
1842,208.538926,  9.533258
1843,208.538926,  9.533258
1844,208.538926,  9.533258
1845,208.538926,  9.533258
1846,208.538926,  9.533258
1847,208.538926,  9.533258
1848,208.538926,  9.533258
1849,208.538926,  9.533258
1850,208.538926,  9.533258
1851,208.538926,  9.533258
1852,208.538926,  9.533258
1853,208.538926,  9.533258
1854,208.538926,  9.533258
1855,208.538926,  9.533258
1856,208.538926,  9.533258
1857,208.538926,  9.533258
1858,208.538926,  9.533258
1859,208.538926,  9.533258
1860,208.538926,  9.533258
1861,208.538926,  9.533258
1862,208.538926,  9.533258
1863,208.538926,  9.533258
1864,208.538926,  9.533258
1865,208.538926,  9.533258
1866,208.538926,  9.533258
1867,208.538926,  9.533258
1868,208.538926,  9.533258
1869,208.538926,  9.533258
1870,208.538926,  9.533258
1871,208.538926,  9.533258
1872,208.538926,  9.533258
1873,208.538926,  9.533258
1874,208.538926,  9.533258
1875,208.538926,  9.533258
1876,208.538926,  9.533258
1877,208.538926,  9.533258
1878,208.538926,  9.533258
1879,208.538926,  9.533258
1880,208.538926,  9.533258
1881,208.538926,  9.533258
1882,208.538926,  9.533258
1883,208.538926,  9.533258
1884,208.538926,  9.533258
1885,208.538926,  9.533258
1886,208.538926,  9.533258
1887,208.538926,  9.533258
1888,208.538926,  9.533258
1889,208.538926,  9.533258
1890,208.538926,  9.533258
1891,208.538926,  9.533258
1892,208.538926,  9.533258
1893,208.538926,  9.533258
1894,208.538926,  9.533258
1895,208.538926,  9.533258
1896,208.538926,  9.533258
1897,208.538926,  9.533258
1898,208.538926,  9.533258
1899,208.538926,  9.533258
1900,208.538926,  9.533258
1901,208.538926,  9.533258
1902,208.538926,  9.533258
1903,208.538926,  9.533258
1904,208.538926,  9.533258
1905,208.538926,  9.533258
1906,208.538926,  9.533258
1907,208.538926,  9.533258
1908,208.538926,  9.533258
1909,208.538926,  9.533258
1910,208.538926,  9.533258
1911,208.538926,  9.533258
1912,208.538926,  9.533258
1913,208.538926,  9.533258
1914,208.538926,  9.533258
1915,208.538926,  9.533258
1916,208.538926,  9.533258
1917,208.538926,  9.533258
1918,208.538926,  9.533258
1919,208.538926,  9.533258
1920,208.538926,  9.533258
1921,208.538926,  9.533258
1922,208.538926,  9.533258
1923,208.538926,  9.533258
1924,208.538926,  9.533258
1925,208.538926,  9.533258
1926,208.538926,  9.533258
1927,208.538926,  9.533258
1928,208.538926,  9.533258
1929,208.538926,  9.533258
1930,208.538926,  9.533258
1931,208.538926,  9.533258
1932,208.538926,  9.533258
1933,208.538926,  9.533258
1934,208.538926,  9.533258
1935,208.538926,  9.533258
1936,208.538926,  9.533258
1937,208.538926,  9.533258
1938,208.538926,  9.533258
1939,208.538926,  9.533258
1940,208.538926,  9.533258
1941,208.538926,  9.533258
1942,208.538926,  9.533258
1943,208.538926,  9.533258
1944,208.538926,  9.533258
1945,208.538926,  9.533258
1946,208.538926,  9.533258
1947,208.538926,  9.533258
1948,208.538926,  9.533258
1949,208.538926,  9.533258
1950,208.538926,  9.533258
1951,208.538926,  9.533258
1952,208.538926,  9.533258
1953,208.538926,  9.533258
1954,208.538926,  9.533258
1955,208.538926,  9.533258
1956,208.538926,  9.533258
1957,208.538926,  9.533258
1958,208.538926,  9.533258
1959,208.538926,  9.533258
1960,208.538926,  9.533258
1961,208.538926,  9.533258
1962,208.538926,  9.533258
1963,208.538926,  9.533258
1964,208.538926,  9.533258
1965,208.538926,  9.533258
1966,208.538926,  9.533258
1967,208.538926,  9.533258
1968,208.538926,  9.533258
1969,208.538926,  9.533258
1970,208.538926,  9.533258
1971,208.538926,  9.533258
1972,208.538926,  9.533258
1973,208.538926,  9.533258
1974,208.538926,  9.533258
1975,208.538926,  9.533258
1976,208.538926,  9.533258
1977,208.538926,  9.533258
1978,208.538926,  9.533258
1979,208.538926,  9.533258
1980,208.538926,  9.533258
1981,208.538926,  9.533258
1982,208.538926,  9.533258
1983,208.538926,  9.533258
1984,208.538926,  9.533258
1985,208.538926,  9.533258
1986,208.538926,  9.533258
1987,208.538926,  9.533258
1988,208.538926,  9.533258
1989,208.538926,  9.533258
1990,208.538926,  9.533258
1991,208.538926,  9.533258
1992,208.538926,  9.533258
1993,208.538926,  9.533258
1994,208.538926,  9.533258
1995,208.538926,  9.533258
1996,208.538926,  9.533258
1997,208.538926,  9.533258
1998,208.538926,  9.533258
1999,208.538926,  9.533258
2000,208.538926,  9.533258
2001,208.538926,  9.533258
2002,208.538926,  9.533258
2003,208.538926,  9.533258
2004,208.538926,  9.533258
2005,208.538926,  9.533258
2006,208.538926,  9.533258
2007,208.538926,  9.533258
2008,208.538926,  9.533258
2009,208.538926,  9.533258
2010,208.538926,  9.533258
2011,208.538926,  9.533258
2012,208.538926,  9.533258
2013,208.538926,  9.533258
2014,208.538926,  9.533258
2015,208.538926,  9.533258
2016,208.538926,  9.533258
2017,208.538926,  9.533258
2018,208.538926,  9.533258
2019,208.538926,  9.533258
2020,208.538926,  9.533258
2021,208.538926,  9.533258
2022,208.538926,  9.533258
2023,208.538926,  9.533258
2024,208.538926,  9.533258
2025,208.538926,  9.533258
2026,208.538926,  9.533258
2027,208.538926,  9.533258
2028,208.538926,  9.533258
2029,208.538926,  9.533258
2030,208.538926,  9.533258
2031,208.538926,  9.533258
2032,208.538926,  9.533258
2033,208.538926,  9.533258
2034,208.538926,  9.533258
2035,208.538926,  9.533258
2036,208.538926,  9.533258
2037,208.538926,  9.533258
2038,208.538926,  9.533258
2039,208.538926,  9.533258
2040,208.538926,  9.533258
2041,208.538926,  9.533258
2042,208.538926,  9.533258
2043,208.538926,  9.533258
2044,208.538926,  9.533258
2045,208.538926,  9.533258
2046,208.538926,  9.533258
2047,208.538926,  9.533258
2048,208.538926,  9.533258
2049,208.538926,  9.533258
2050,208.538926,  9.533258
2051,208.538926,  9.533258
2052,208.538926,  9.533258
2053,208.538926,  9.533258
2054,208.538926,  9.533258
2055,208.538926,  9.533258
2056,208.538926,  9.533258
2057,208.538926,  9.533258
2058,208.538926,  9.533258
2059,208.538926,  9.533258
2060,208.538926,  9.533258
2061,208.538926,  9.533258
2062,208.538926,  9.533258
2063,208.538926,  9.533258
2064,208.538926,  9.533258
2065,208.538926,  9.533258
2066,208.538926,  9.533258
2067,208.538926,  9.533258
2068,208.538926,  9.533258
2069,208.538926,  9.533258
2070,208.538926,  9.533258
2071,208.538926,  9.533258
2072,208.538926,  9.533258
2073,208.538926,  9.533258
2074,208.538926,  9.533258
2075,208.538926,  9.533258
2076,208.538926,  9.533258
2077,208.538926,  9.533258
2078,208.538926,  9.533258
2079,208.538926,  9.533258
2080,208.538926,  9.533258
2081,208.538926,  9.533258
2082,208.538926,  9.533258
2083,208.538926,  9.533258
2084,208.538926,  9.533258
2085,208.538926,  9.533258
2086,208.538926,  9.533258
2087,208.538926,  9.533258
2088,208.538926,  9.533258
2089,208.538926,  9.533258
2090,208.538926,  9.533258
2091,208.538926,  9.533258
2092,208.538926,  9.533258
2093,208.538926,  9.533258
2094,208.538926,  9.533258
2095,208.538926,  9.533258
2096,208.538926,  9.533258
2097,208.538926,  9.533258
2098,208.538926,  9.533258
2099,208.538926,  9.533258
2100,208.538926,  9.533258
