; historical from hector_ceds
; commit 0674f8aa14c7345
; date Fri Aug 14 10:45:45 2026
; UNITS:, Tg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Tg CH4, Tg CO, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg N, Tg N, Tg, Tg NMVOC, Tg N, Tg, W/m2, Gg, Gg S, W/m2, Pg C/yr, Pg C/yr, Gg, Gg, Gg, Pg C/yr, Pg C/yr
Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,CH4_emissions,CO_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC4310_emissions,N2O_emissions,N2O_natural_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,luc_emissions,luc_uptake
1745,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,223.2841597,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,9.904157673,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1746,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,218.5439114,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,9.496370793,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1747,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,223.2307996,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,9.982529779,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1748,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,224.0223599,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,9.973572747,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1749,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,225.0712758,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,9.978918184,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1750,2.12009320739081,0,0.024856862,0.010071225,0,0,0,0,0,105.08773,0,4275.7449,224.3734775,26.9905392610073,348.838264715269,0,0,0,0,0,0,0,0,0,0,0,0.64788617320714,10.05637215,6.75210566928243,60.9316028709146,5.91977385780475,16.0204519540941,0,0,1176.7530986171,0,0,0.00238454172655907,0.007723273,0,0,0.081175867,0
1751,2.09569450784233,0,0.024856862,0.010071225,0,0,0,0,0,105.1072,0,4276.7685,224.7588953,26.8228137039776,344.229340660338,0,0,0,0,0,0,0,0,0,0,0,0.640645904475459,10.04215546,6.6836059079966,59.9992417818686,5.85286608328529,15.7627291781989,-2.29457e-4,0,1159.63301561555,0.185756746,0,0.00238454172655908,0.007723273,0,0,0.08266927,0
1752,2.0875514029991,0,0.024856862,0.010071225,0,0,0,0,0,105.12502,0,4277.7049,226.7553906,26.7329549091469,342.107934665104,0,0,0,0,0,0,0,0,0,0,0,0.637487748515144,10.06138643,6.64203668234455,59.5451982377933,5.85369564686891,15.6098713085235,-4.59e-4,0,1153.12674176515,0.185760472,0,0.00238547610811337,0.007723273,0,0,0.084190146,0
1753,2.09568518835666,0,0.024856862,0.010071225,0,0,0,0,0,105.10373,0,4276.586,225.7345705,26.8989523996748,343.976352016427,0,0,0,0,0,0,0,0,0,0,0,0.639916251593369,10.12397451,6.70324106405026,59.942927939637,5.8281466958078,15.7597785286078,-6.88e-4,0,1159.21502870507,0.185761717,0,0.00238547610811337,0.007723273,0,0,0.085739002,0
